200 10
132 182 23 173 145 93 98 188 59 94 7 71 107 69 154 169 180 200 30 47
10 143 135 89 194 111 27 33 118 113 18 40 167 14 95 139 110 148 52 102
60 189 117 6 171 100 101 168 181 147 66 2 105 44 39 185 124 172 138 163
72 45 96 175 13 8 55 153 22 48 29 177 35 3 133 119 43 190 151 15
166 42 193 46 83 129 64 58 198 161 54 76 109 136 122 160 184 68 170 51
88 70 90 197 116 20 149 97 87 12 9 61 34 174 79 5 120 106 183 128
178 31 187 41 50 179 77 158 162 74 165 152 32 75 192 28 126 199 82 21
156 115 140 37 62 57 146 49 17 84 63 86 127 1 103 24 4 141 16 196
134 114 191 142 53 164 157 81 112 91 176 144 121 85 19 26 80 38 155 137
65 159 25 186 73 36 130 56 150 92 123 78 104 125 131 67 11 108 195 99
