10 200
0 1 1 0 1 1 1 0 0 0
2 5 5
1 6 7
2 4 5
1 4 6
2 7 8
2 8 10
2 7 8
1 3 3
2 3 5
1 3 3
1 8 10
2 3 3
1 10 10
2 9 10
2 8 9
1 2 6
2 5 6
2 9 10
2 3 3
2 3 3
2 2 2
1 5 9
1 10 10
2 8 8
1 8 8
1 10 10
1 7 7
2 3 10
1 8 8
1 8 8
1 4 5
1 1 3
1 2 3
2 2 8
1 9 10
2 8 9
2 9 9
2 7 8
1 7 7
2 7 9
1 4 5
1 7 9
1 5 7
1 1 9
2 4 7
1 2 5
2 1 2
2 6 9
1 3 4
1 10 10
1 3 3
1 6 10
2 3 9
2 8 8
1 3 7
1 8 10
1 7 7
2 3 4
1 1 7
2 7 9
1 2 2
2 7 7
1 8 8
1 5 10
1 9 9
1 9 9
1 6 10
2 2 9
2 2 9
2 4 9
2 4 4
1 4 8
1 9 9
1 8 10
1 8 9
2 4 7
1 9 10
1 10 10
1 1 10
1 8 10
1 2 5
2 6 6
2 2 6
2 8 10
1 6 6
1 6 10
1 4 9
2 2 3
2 10 10
2 5 6
1 8 8
1 9 9
2 10 10
2 6 6
1 8 8
2 7 8
1 7 8
1 5 7
1 5 8
2 5 7
1 5 6
1 1 7
1 6 6
1 10 10
2 4 10
1 7 7
2 6 6
2 8 10
1 2 7
1 5 9
2 10 10
2 6 8
1 3 5
2 8 9
2 4 10
2 2 10
1 3 4
1 2 2
2 8 8
2 7 7
2 8 9
2 2 10
2 10 10
2 5 6
2 7 7
1 5 5
1 5 10
2 8 10
2 9 9
2 5 6
1 2 9
1 9 9
2 10 10
2 9 9
2 6 9
1 10 10
1 10 10
2 6 6
2 7 7
2 10 10
1 8 9
1 8 8
1 5 8
1 1 7
1 10 10
1 4 10
2 3 9
2 5 9
2 7 10
2 2 10
1 1 9
1 1 9
2 7 10
1 1 2
1 4 9
2 5 7
1 10 10
2 6 8
2 5 5
2 4 10
2 1 5
1 6 9
2 5 8
1 8 10
2 5 5
1 7 7
2 4 9
1 5 5
1 2 10
2 6 6
2 10 10
2 4 8
2 9 10
2 6 8
2 2 4
2 8 10
1 4 5
2 3 9
2 8 8
2 6 7
1 10 10
2 5 8
2 9 10
2 1 7
2 9 10
2 5 9
2 1 9
2 3 8
2 6 8
2 2 4
1 2 3
2 3 6
1 1 9
2 8 10
2 2 8
1 6 9
2 8 10
2 9 9
1 2 2
2 10 10
