0 0 query( 5,  5) [0, 1, 1, 0, 1, 1, 1, 0, 0, 0]
2 0 query( 4,  5) [0, 1, 1, 0, 1, 0, 0, 0, 0, 0]
4 0 query( 7,  8) [0, 1, 1, 1, 0, 1, 0, 0, 0, 0]
5 0 query( 8, 10) [0, 1, 1, 1, 0, 1, 0, 0, 0, 0]
6 0 query( 7,  8) [0, 1, 1, 1, 0, 1, 0, 0, 0, 0]
8 1 query( 3,  5) [0, 1, 0, 1, 0, 1, 0, 0, 0, 0]
11 0 query( 3,  3) [0, 1, 1, 1, 0, 1, 0, 1, 1, 1]
13 1 query( 9, 10) [0, 1, 1, 1, 0, 1, 0, 1, 1, 0]
14 0 query( 8,  9) [0, 1, 1, 1, 0, 1, 0, 1, 1, 0]
16 1 query( 5,  6) [0, 0, 0, 0, 1, 0, 0, 1, 1, 0]
17 1 query( 9, 10) [0, 0, 0, 0, 1, 0, 0, 1, 1, 0]
18 0 query( 3,  3) [0, 0, 0, 0, 1, 0, 0, 1, 1, 0]
19 0 query( 3,  3) [0, 0, 0, 0, 1, 0, 0, 1, 1, 0]
20 0 query( 2,  2) [0, 0, 0, 0, 1, 0, 0, 1, 1, 0]
23 0 query( 8,  8) [0, 0, 0, 0, 0, 1, 1, 0, 0, 1]
27 5 query( 3, 10) [0, 0, 0, 0, 0, 1, 0, 1, 0, 0]
33 3 query( 2,  8) [1, 0, 0, 1, 1, 1, 0, 1, 0, 0]
35 0 query( 8,  9) [1, 0, 0, 1, 1, 1, 0, 1, 1, 1]
36 0 query( 9,  9) [1, 0, 0, 1, 1, 1, 0, 1, 1, 1]
37 0 query( 7,  8) [1, 0, 0, 1, 1, 1, 0, 1, 1, 1]
39 0 query( 7,  9) [1, 0, 0, 1, 1, 1, 1, 1, 1, 1]
44 3 query( 4,  7) [0, 1, 1, 1, 0, 1, 0, 1, 1, 1]
46 0 query( 1,  2) [0, 0, 0, 0, 1, 1, 0, 1, 1, 1]
47 1 query( 6,  9) [0, 0, 0, 0, 1, 1, 0, 1, 1, 1]
52 8 query( 3,  9) [0, 0, 0, 1, 1, 0, 1, 0, 0, 1]
53 0 query( 8,  8) [0, 0, 0, 1, 1, 0, 1, 0, 0, 1]
57 1 query( 3,  4) [0, 0, 1, 0, 0, 1, 1, 1, 1, 0]
59 0 query( 7,  9) [1, 1, 0, 1, 1, 0, 0, 1, 1, 0]
61 0 query( 7,  7) [1, 0, 0, 1, 1, 0, 0, 1, 1, 0]
67 4 query( 2,  9) [1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
68 4 query( 2,  9) [1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
69 4 query( 4,  9) [1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
70 0 query( 4,  4) [1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
75 0 query( 4,  7) [1, 0, 0, 0, 1, 1, 1, 1, 0, 1]
81 0 query( 6,  6) [0, 0, 0, 0, 1, 0, 0, 1, 1, 1]
82 1 query( 2,  6) [0, 0, 0, 0, 1, 0, 0, 1, 1, 1]
83 0 query( 8, 10) [0, 0, 0, 0, 1, 0, 0, 1, 1, 1]
87 0 query( 2,  3) [0, 0, 0, 1, 0, 1, 0, 1, 1, 0]
88 0 query(10, 10) [0, 0, 0, 1, 0, 1, 0, 1, 1, 0]
89 0 query( 5,  6) [0, 0, 0, 1, 0, 1, 0, 1, 1, 0]
92 0 query(10, 10) [0, 0, 0, 1, 0, 1, 0, 0, 0, 0]
93 0 query( 6,  6) [0, 0, 0, 1, 0, 1, 0, 0, 0, 0]
95 0 query( 7,  8) [0, 0, 0, 1, 0, 1, 0, 1, 0, 0]
99 0 query( 5,  7) [0, 0, 0, 1, 0, 1, 1, 1, 0, 0]
104 1 query( 4, 10) [1, 1, 1, 0, 0, 0, 0, 1, 0, 1]
106 0 query( 6,  6) [1, 1, 1, 0, 0, 0, 1, 1, 0, 1]
107 1 query( 8, 10) [1, 1, 1, 0, 0, 0, 1, 1, 0, 1]
110 0 query(10, 10) [1, 0, 0, 1, 0, 0, 1, 0, 1, 1]
111 1 query( 6,  8) [1, 0, 0, 1, 0, 0, 1, 0, 1, 1]
113 0 query( 8,  9) [1, 0, 1, 0, 1, 0, 1, 0, 1, 1]
114 3 query( 4, 10) [1, 0, 1, 0, 1, 0, 1, 0, 1, 1]
115 6 query( 2, 10) [1, 0, 1, 0, 1, 0, 1, 0, 1, 1]
118 0 query( 8,  8) [1, 1, 0, 1, 1, 0, 1, 0, 1, 1]
119 0 query( 7,  7) [1, 1, 0, 1, 1, 0, 1, 0, 1, 1]
120 0 query( 8,  9) [1, 1, 0, 1, 1, 0, 1, 0, 1, 1]
121 8 query( 2, 10) [1, 1, 0, 1, 1, 0, 1, 0, 1, 1]
